ASP.NET Distributed Data Applications,"['Alex Homer', 'David Sussman']",Apress,2008.0
Distributed Com Application Development Using Visual C++ 6.0 with CDROM (Prentice Hall Series on Microsoft Technologies),['Jim Maloney'],Prentice Hall,2000.0
